vehicle_reg_no,owner_name,engine_capacity_cc,vehicle_make_model,registration_year,owner_address
LEA-6930,Chaudhary Naveed Khokhar,1000,Suzuki Cultus,2021,"House No. 113, Gali 31, Cantt, Multan"
LEA-5912,Junaid Gondal,3300,Toyota Land Cruiser ZX,2025,"19-28 Clifton Block 2, Karachi"
RIR-4796,Junaid Gondal,2000,Audi e-tron,2024,"19-28 Clifton Block 2, Karachi"
KAR-1157,Junaid Gondal,2700,Toyota Prado TX,2022,"19-28 Clifton Block 2, Karachi"
RIR-7994,Mahnoor Naqvi,3300,Toyota Land Cruiser ZX,2018,"277-40 G-13/1, Islamabad"
AFR-8557,Mahnoor Naqvi,2700,Toyota Prado TX,2026,"277-40 G-13/1, Islamabad"
LEA-5380,K.Chaudhry,2000,Audi e-tron,2024,مکان 309 گلی 4 Model Town لاہور
ICT-6548,K.Chaudhry,2000,Hyundai Tucson,2019,مکان 309 گلی 4 Model Town لاہور
ICT-9909,Madiha Afridi,2700,Toyota Prado TX,2024,"House 208, Street 36, DHA Phase 6, Karachi"
AFR-7062,Rana Noman Naqvi,2000,Audi e-tron,2017,"House No. 9, Gali 31, F-8/3, Islamabad"
KAR-1419,Chaudhary Noman Naqvi,1800,Toyota Corolla Altis,2020,"House No. 9, Gali 31, F-8/3, Islamabad"
ICT-5785,Sardar Noman Naqvi,2700,Toyota Fortuner,2026,"House No. 9, Gali 31, F-8/3, Islamabad"
AFR-8264,Nasir Virk,2000,Mercedes C200,2025,"19-8 Gulgasht, Multan"
LEA-4832,Nasir Virk,2700,Toyota Fortuner,2024,"19-8 Gulgasht, Multan"
KAR-2420,Nasir Virk,2700,Toyota Prado TX,2020,"19-8 Gulgasht, Multan"
LEA-5951,M.Zaidi,2000,Mercedes C200,2017,مکان 284 گلی 39 Westridge راولپنڈی
LEA-9507,M.Zaidi,2000,Mercedes C200,2017,مکان 284 گلی 39 Westridge راولپنڈی
LEA-3507,M. Tarar,1800,Toyota Corolla Altis,2025,H#374 St-15 Gulbahar Peshawar
AFR-9837,M. Tarar,3300,Toyota Land Cruiser ZX,2018,H#374 St-15 Gulbahar Peshawar
ICT-2186,M. Tarar,2700,Toyota Prado TX,2018,H#374 St-15 Gulbahar Peshawar
RIR-5888,Sufyan Janjua,1000,Suzuki Cultus,2022,"393-11 Cantt, Multan"
KAR-1513,H. Kakar,3300,Toyota Land Cruiser ZX,2021,H#347 St-3 ModelTown Lahore
RIR-5261,H. Kakar,2000,Mercedes C200,2025,H#347 St-3 ModelTown Lahore
RIR-1523,A. Sheikh,1500,Honda Civic RS,2017,H#275 St-29 Westridge Rawalpindi
ICT-7544,A. Sheikh,1500,Honda Civic RS,2022,H#275 St-29 Westridge Rawalpindi
KAR-3977,K. Afridi,2700,Toyota Prado TX,2020,H#317 St-29 NorthNazimabad Karachi
ICT-4029,K. Afridi,2000,Mercedes C200,2024,H#317 St-29 NorthNazimabad Karachi
LEA-8909,Q. Durrani,1800,Toyota Corolla Altis,2026,H#153 St-2 UniversityTown Peshawar
LEA-3436,Q. Durrani,2000,Mercedes C200,2018,H#153 St-2 UniversityTown Peshawar
ICT-1235,Q. Durrani,2000,Audi e-tron,2025,H#153 St-2 UniversityTown Peshawar
AFR-5234,A. Kazmi,3300,Toyota Land Cruiser ZX,2022,H#61 St-23 Cantt Multan
RIR-1247,A. Kazmi,2000,Mercedes C200,2024,H#61 St-23 Cantt Multan
KAR-4305,A. Kazmi,2700,Toyota Prado TX,2018,H#61 St-23 Cantt Multan
ICT-480,Malik Bushra Joiya,2700,Toyota Prado TX,2024,"House No. 261, Gali 26, Satellite Town, Rawalpindi"
AFR-2316,Syed Babar Zaidi,1300,Toyota Corolla GLi,2022,"House No. 329, Gali 11, Gulberg III, Lahore"
LEA-3679,Kamran Zaidi,1000,Suzuki Cultus,2019,"House 276, Street 16, Gulberg III, Lahore"
RIR-2327,Mubashir Mirza,2000,Mercedes C200,2025,"242-17 University Town, Peshawar"
ICT-7086,Mubashir Mirza,1500,Honda Civic RS,2018,"242-17 University Town, Peshawar"
RIR-6173,Mubashir Mirza,1800,Toyota Corolla Altis,2017,"242-17 University Town, Peshawar"
AFR-637,Zainab Mirza,1300,Toyota Corolla GLi,2018,"House 322, Street 32, Cantt, Multan"
LEA-5682,Z.Gondal,1200,Honda City,2023,مکان 141 گلی 31 University Town Peshawar
RIR-9522,Taimoor Mirza,2700,Toyota Prado TX,2019,"66-38 B-17, Islamabad"
KAR-698,Taimoor Mirza,1800,Toyota Corolla Altis,2020,"66-38 B-17, Islamabad"
LEA-8303,Taimoor Mirza,2700,Toyota Prado TX,2022,"66-38 B-17, Islamabad"
ICT-5088,Nadia Baig,2700,Toyota Prado TX,2025,"232-30 North Nazimabad, Karachi"
LEA-6922,Muhammad Awan,70,Honda CD-70,2020,"House 124, Street 18, Model Town, Lahore"
KAR-880,Sardar Sajid Yousafzai,1200,Honda City,2024,"House No. 21, Gali 5, D Ground, Faisalabad"
AFR-440,M.Gill,1200,Honda City,2019,مکان 9 گلی 7 D Ground Faisalabad
ICT-1405,Mehwish Afridi,1000,Suzuki Cultus,2017,"House 299, Street 11, Gulberg III, Lahore"
ICT-8627,S.Niazi,1800,Toyota Corolla Altis,2020,مکان 14 گلی 14 Peoples Colony Faisalabad
LEA-1733,S.Niazi,2700,Toyota Prado TX,2022,مکان 14 گلی 14 Peoples Colony Faisalabad
ICT-5861,Kamran Durrani,1300,Toyota Corolla GLi,2018,"139-19 Cantt, Multan"
KAR-5495,Hina Naqvi,2700,Toyota Prado TX,2025,"House 110, Street 5, Gulshan-e-Iqbal, Karachi"
RIR-9804,Sufyan Hashmi,2700,Toyota Fortuner,2018,"218-7 Shah Rukn-e-Alam, Multan"
AFR-7263,عائشہ شیخ,800,Suzuki Mehran,2026,"371-35 G-10/2, Islamabad"
RIR-9263,Atif Raja,2000,Audi e-tron,2018,"House 118, Street 28, I-8/4, Islamabad"
ICT-6807,Atif Raja,1500,Honda Civic RS,2024,"House 118, Street 28, I-8/4, Islamabad"
LEA-6010,M. Zaidi,2700,Toyota Prado TX,2021,H#234 St-7 G-13/1 Islamabad
AFR-5286,M. Zaidi,2700,Toyota Fortuner,2025,H#234 St-7 G-13/1 Islamabad
ICT-9595,M. Zaidi,2000,Mercedes C200,2026,H#234 St-7 G-13/1 Islamabad
ICT-8394,Mian Haris Janjua,3300,Toyota Land Cruiser ZX,2019,"House No. 37, Gali 24, Gulbahar, Peshawar"
ICT-4842,Mian Haris Janjua,2000,Mercedes C200,2025,"House No. 37, Gali 24, Gulbahar, Peshawar"
AFR-2201,Syed Haris Janjua,3300,Toyota Land Cruiser ZX,2023,"House No. 37, Gali 24, Gulbahar, Peshawar"
ICT-4621,Sardar Talha Baig,660,Suzuki Alto,2018,"House No. 258, Gali 28, F-8/3, Islamabad"
LEA-3283,Sardar Junaid Mirza,1500,Honda Civic RS,2020,"House No. 50, Gali 19, Cantt, Multan"
LEA-3731,Sardar Junaid Mirza,2700,Toyota Prado TX,2023,"House No. 50, Gali 19, Cantt, Multan"
LEA-5924,Uzma Ansari,2700,Toyota Prado TX,2017,"House 265, Street 25, Johar Town, Lahore"
KAR-3852,O.Mehsud,1300,Toyota Corolla GLi,2019,مکان 65 گلی 14 Gulberg III لاہور
LEA-1622,Bilal Durrani,1200,Honda City,2026,"House 183, Street 16, Gulbahar, Peshawar"
ICT-4855,W.Wazir,800,Suzuki Mehran,2017,مکان 327 گلی 24 D Ground Faisalabad
KAR-6411,Babar Orakzai,3300,Toyota Land Cruiser ZX,2021,"House 207, Street 24, Westridge, Rawalpindi"
LEA-6453,Rana Waqas Sandhu,70,Honda CD-70,2020,"House No. 328, Gali 33, Hayatabad Phase 3, Peshawar"
ICT-1365,Yousuf Sandhu,70,Honda CD-70,2026,"House 208, Street 38, Bahria Phase 4, Rawalpindi"
LEA-8572,M.Sial,1200,Honda City,2019,مکان 342 گلی 15 Shah Rukn-e-Alam Multan
ICT-2077,S.Cheema,70,Honda CD-70,2018,مکان 79 گلی 19 Cantt Multan
KAR-8343,Rida Rizvi,1300,Toyota Corolla GLi,2018,"House 290, Street 31, Chaklala Scheme 3, Rawalpindi"
AFR-6055,G. Kazmi,1200,Honda City,2024,H#202 St-33 G-10/2 Islamabad
LEA-1766,Noman Rajput,1500,Honda Civic RS,2022,"31-31 Westridge, Rawalpindi"
AFR-8121,I. Warraich,3300,Toyota Land Cruiser ZX,2025,H#304 St-20 HayatabadPhase3 Peshawar
ICT-4856,K.Afridi,2700,Toyota Fortuner,2021,مکان 360 گلی 19 Westridge راولپنڈی
KAR-133,K.Afridi,2700,Toyota Fortuner,2026,مکان 360 گلی 19 Westridge راولپنڈی
ICT-2287,Mian Khadija Bukhari,800,Suzuki Mehran,2021,"House No. 6, Gali 14, Shah Rukn-e-Alam, Multan"
AFR-1672,Farah Siddiqui,3300,Toyota Land Cruiser ZX,2021,"House 360, Street 25, Westridge, Rawalpindi"
LEA-5339,Farah Siddiqui,1800,Toyota Corolla Altis,2026,"House 360, Street 25, Westridge, Rawalpindi"
RIR-3406,O.Mehsud,800,Suzuki Mehran,2017,مکان 112 گلی 22 Peoples Colony Faisalabad
LEA-8750,A.Mughal,1800,Toyota Corolla Altis,2020,مکان 15 گلی 8 Wapda Town لاہور
AFR-5402,A.Mughal,1800,Toyota Corolla Altis,2025,مکان 15 گلی 8 Wapda Town لاہور
AFR-8256,U.Gondal,1300,Toyota Corolla GLi,2017,مکان 140 گلی 14 Chaklala Scheme 3 راولپنڈی
KAR-8782,W. Rizvi,1800,Toyota Corolla Altis,2022,H#145 St-3 HayatabadPhase3 Peshawar
AFR-9949,W. Rizvi,2000,Hyundai Tucson,2018,H#145 St-3 HayatabadPhase3 Peshawar
LEA-3145,W. Rizvi,3300,Toyota Land Cruiser ZX,2024,H#145 St-3 HayatabadPhase3 Peshawar
AFR-9731,S. Kayani,2000,Hyundai Tucson,2026,H#108 St-21 SatelliteTown Rawalpindi
AFR-1612,Chaudhary Anas Siddiqui,660,Suzuki Alto,2024,"House No. 362, Gali 7, Bahria Phase 4, Rawalpindi"
LEA-1929,Z.Sial,2000,Mercedes C200,2018,مکان 123 گلی 36 Satellite Town راولپنڈی
LEA-9150,Haji Tariq Cheema,1000,Suzuki Cultus,2018,"House No. 27, Gali 27, Chaklala Scheme 3, Rawalpindi"
RIR-7574,F. Cheema,2000,Mercedes C200,2022,H#90 St-32 ChaklalaScheme3 Rawalpindi
LEA-8788,Noor Chaudhry,2700,Toyota Prado TX,2022,"House 299, Street 35, Shah Rukn-e-Alam, Multan"
AFR-7615,T. Afridi,800,Suzuki Mehran,2018,H#234 St-10 Cantt Multan
ICT-7375,Shoaib خان,1800,Toyota Corolla Altis,2026,"261-27 University Town, Peshawar"
LEA-9674,Malik Muhammad Khan,2000,Hyundai Tucson,2024,"House No. 210, Gali 35, Shah Rukn-e-Alam, Multan"
AFR-3515,Rana Muhammad Khan,2000,Mercedes C200,2019,"House No. 210, Gali 35, Shah Rukn-e-Alam, Multan"
LEA-4781,Malik Muhammad Khan,1500,Honda Civic RS,2024,"House No. 210, Gali 35, Shah Rukn-e-Alam, Multan"
AFR-4678,Y. Bhatti,660,Suzuki Alto,2017,H#270 St-13 HayatabadPhase3 Peshawar
RIR-7244,Lubna Siddiqui,800,Suzuki Mehran,2019,"House 342, Street 2, Chaklala Scheme 3, Rawalpindi"
RIR-2086,Uzma Naqvi,2000,Audi e-tron,2017,"House 4, Street 28, Peoples Colony, Faisalabad"
ICT-8539,Nimra Mirza,1300,Toyota Corolla GLi,2021,"169-16 Gulbahar, Peshawar"
ICT-4775,Zeeshan Khattak,1300,Toyota Corolla GLi,2023,"241-36 Gulberg III, Lahore"
RIR-1131,A.Gill,3300,Toyota Land Cruiser ZX,2024,مکان 304 گلی 37 Gulshan-e-Iqbal کراچی
ICT-9826,A.Gill,2700,Toyota Prado TX,2020,مکان 304 گلی 37 Gulshan-e-Iqbal کراچی
KAR-1012,A.Gill,2700,Toyota Prado TX,2017,مکان 304 گلی 37 Gulshan-e-Iqbal کراچی
RIR-7485,محمد Tarar,2700,Toyota Prado TX,2021,"291-4 Madina Town, Faisalabad"
AFR-7832,A. Virk,800,Suzuki Mehran,2020,H#25 St-25 B-17 Islamabad
AFR-5075,J. Joiya,1000,Suzuki Cultus,2017,H#205 St-21 G-10/2 Islamabad
AFR-9535,Mian Bushra Zaidi,2700,Toyota Fortuner,2017,"House No. 301, Gali 36, I-8/4, Islamabad"
ICT-592,Malik Bushra Zaidi,2700,Toyota Prado TX,2025,"House No. 301, Gali 36, I-8/4, Islamabad"
ICT-9893,U. Rajput,1300,Toyota Corolla GLi,2020,H#316 St-40 ShahRukn-e-Alam Multan
KAR-7173,Anas Ansari,800,Suzuki Mehran,2021,"House 273, Street 19, DHA Phase 5, Lahore"
AFR-3694,Sardar Fatima Khan,2000,Audi e-tron,2025,"House No. 141, Gali 6, Hayatabad Phase 3, Peshawar"
ICT-6395,Sardar Fatima Khan,1800,Toyota Corolla Altis,2023,"House No. 141, Gali 6, Hayatabad Phase 3, Peshawar"
AFR-5338,Sardar Fatima Khan,2000,Mercedes C200,2021,"House No. 141, Gali 6, Hayatabad Phase 3, Peshawar"
AFR-657,Saad Hashmi,1000,Suzuki Cultus,2023,"8-11 Madina Town, Faisalabad"
RIR-6790,S. Wazir,800,Suzuki Mehran,2021,H#346 St-39 ChaklalaScheme3 Rawalpindi
AFR-8338,Chaudhary Tooba Rizvi,660,Suzuki Alto,2020,"House No. 269, Gali 25, Hayatabad Phase 3, Peshawar"
RIR-1729,L.Sial,660,Suzuki Alto,2025,مکان 354 گلی 40 DHA Phase 6 کراچی
RIR-571,W.Shirazi,660,Suzuki Alto,2022,مکان 14 گلی 20 Bahria Phase 4 راولپنڈی
AFR-1381,H.Gill,1200,Honda City,2018,مکان 303 گلی 12 Cantt Multan
RIR-4660,M. Rizvi,1500,Honda Civic RS,2026,H#4 St-12 UniversityTown Peshawar
RIR-4325,Sardar Amna Janjua,2000,Hyundai Tucson,2022,"House No. 109, Gali 24, Cantt, Multan"
RIR-1144,Syed Amna Janjua,1500,Honda Civic RS,2021,"House No. 109, Gali 24, Cantt, Multan"
ICT-786,Malik Amna Janjua,1500,Honda Civic RS,2022,"House No. 109, Gali 24, Cantt, Multan"
ICT-2748,Imran Khan,660,Suzuki Alto,2017,"House 12, Street 12, B-17, Islamabad"
KAR-120,Ehsan Virk,660,Suzuki Alto,2026,"347-18 Gulgasht, Multan"
KAR-8350,Muhammad Durrani,1800,Toyota Corolla Altis,2019,"House 117, Street 1, DHA Phase 6, Karachi"
ICT-7329,Muhammad Durrani,1500,Honda Civic RS,2018,"House 117, Street 1, DHA Phase 6, Karachi"
LEA-7285,Muhammad Durrani,2700,Toyota Prado TX,2018,"House 117, Street 1, DHA Phase 6, Karachi"
ICT-8834,Z.Afridi,2000,Mercedes C200,2017,مکان 274 گلی 5 North Nazimabad کراچی
AFR-2101,Z.Afridi,1500,Honda Civic RS,2020,مکان 274 گلی 5 North Nazimabad کراچی
ICT-7197,Malik Yasir Joiya,2700,Toyota Prado TX,2017,"House No. 61, Gali 40, B-17, Islamabad"
KAR-4133,Mian Yasir Joiya,2000,Audi e-tron,2020,"House No. 61, Gali 40, B-17, Islamabad"
AFR-8833,Sardar Yasir Joiya,1500,Honda Civic RS,2017,"House No. 61, Gali 40, B-17, Islamabad"
LEA-4526,Uzma Tareen,2700,Toyota Prado TX,2018,"House 65, Street 2, Clifton Block 2, Karachi"
AFR-9963,Uzma Tareen,1800,Toyota Corolla Altis,2025,"House 65, Street 2, Clifton Block 2, Karachi"
KAR-3658,Uzma Tareen,2000,Hyundai Tucson,2021,"House 65, Street 2, Clifton Block 2, Karachi"
LEA-7389,O.Wazir,1500,Honda Civic RS,2025,مکان 320 گلی 4 B-17 اسلام آباد
KAR-3659,U. Kazmi,1800,Toyota Corolla Altis,2025,H#113 St-32 ModelTown Lahore
LEA-9038,Haji Usman Malik,2000,Audi e-tron,2025,"House No. 233, Gali 22, Cantt, Multan"
KAR-9036,Rashid Kayani,1200,Honda City,2018,"House 307, Street 33, Gulshan-e-Iqbal, Karachi"
LEA-8411,Madiha Kayani,2000,Audi e-tron,2017,"338-36 E-11/2, Islamabad"
RIR-3993,Madiha Kayani,2000,Mercedes C200,2026,"338-36 E-11/2, Islamabad"
AFR-3105,Mansoor Mirza,1300,Toyota Corolla GLi,2019,"228-15 Westridge, Rawalpindi"
ICT-3010,Saqib Gill,1500,Honda Civic RS,2025,"House 251, Street 24, Bahria Phase 4, Rawalpindi"
KAR-6203,Nadeem Naqvi,1300,Toyota Corolla GLi,2021,"302-28 Gulshan-e-Iqbal, Karachi"
KAR-7364,Hamza Malik,70,Honda CD-70,2021,"House 321, Street 9, Model Town, Lahore"
KAR-5979,Moiz Judge,3300,Toyota Land Cruiser ZX,2022,"House 12, Street 4, F-8/3, Islamabad"
KAR-1870,Moiz Judge,2700,Toyota Fortuner,2024,"House 12, Street 4, F-8/3, Islamabad"
AFR-4217,عائشہ احمد,2000,Audi e-tron,2025,"12-4 F-8/3, Islamabad"
AFR-7361,عائشہ احمد,1800,Toyota Corolla Altis,2024,"12-4 F-8/3, Islamabad"
RIR-8068,s.haseeb,3300,Toyota Land Cruiser ZX,2024,مکان 12 گلی 4 F-8/3 اسلام آباد
LEA-787,s. Ahmed,1500,Honda Civic RS,2022,H#12 St-4 F-8/3 Islamabad
AFR-6635,s. Ahmed,2000,Audi e-tron,2018,H#12 St-4 F-8/3 Islamabad
RIR-4616,s. Ahmed,2000,Audi e-tron,2022,H#12 St-4 F-8/3 Islamabad
AFR-8159,Sardar Maryam Siddiqui,2000,Hyundai Tucson,2024,"House No. 141, Gali 16, B-17, Islamabad"
ICT-7332,P. Mirza,2000,Audi e-tron,2024,H#80 St-13 NorthNazimabad Karachi
ICT-1028,P. Mirza,2700,Toyota Prado TX,2022,H#80 St-13 NorthNazimabad Karachi
ICT-9484,Iqra Dar,1800,Toyota Corolla Altis,2022,"House 161, Street 16, Gulgasht, Multan"
LEA-8786,Rehan Sandhu,2000,Hyundai Tucson,2017,"House 225, Street 35, Johar Town, Lahore"
AFR-5326,Chaudhary Fahad Qureshi,2000,Hyundai Tucson,2021,"House No. 60, Gali 7, Chaklala Scheme 3, Rawalpindi"
LEA-4132,H. Gill,3300,Toyota Land Cruiser ZX,2019,H#342 St-7 BahriaPhase4 Rawalpindi
KAR-6859,H. Gill,1800,Toyota Corolla Altis,2022,H#342 St-7 BahriaPhase4 Rawalpindi
LEA-3099,H. Gill,2000,Mercedes C200,2022,H#342 St-7 BahriaPhase4 Rawalpindi
RIR-3150,F.Bukhari,2000,Audi e-tron,2026,مکان 292 گلی 40 Gulshan-e-Iqbal کراچی
AFR-9554,F.Bukhari,1500,Honda Civic RS,2025,مکان 292 گلی 40 Gulshan-e-Iqbal کراچی
LEA-496,F.Bukhari,2000,Mercedes C200,2017,مکان 292 گلی 40 Gulshan-e-Iqbal کراچی
AFR-3071,S.Warraich,1800,Toyota Corolla Altis,2024,مکان 277 گلی 32 Wapda Town لاہور
RIR-8148,Z. Yousafzai,2700,Toyota Fortuner,2017,H#333 St-6 ShahRukn-e-Alam Multan
AFR-6693,Z. Yousafzai,2000,Hyundai Tucson,2018,H#333 St-6 ShahRukn-e-Alam Multan
AFR-6446,Nadia Naqvi,2000,Audi e-tron,2020,"88-12 DHA Phase 6, Karachi"
ICT-1869,Nadia Naqvi,3300,Toyota Land Cruiser ZX,2021,"88-12 DHA Phase 6, Karachi"
KAR-5321,Nadia Naqvi,2000,Hyundai Tucson,2024,"88-12 DHA Phase 6, Karachi"
LEA-9404,K.Qureshi,2000,Hyundai Tucson,2018,مکان 366 گلی 6 University Town Peshawar
KAR-9751,Malik Mansoor Shirazi,2000,Audi e-tron,2024,"House No. 159, Gali 36, Cantt, Multan"
LEA-5729,Haji Mansoor Shirazi,2000,Mercedes C200,2026,"House No. 159, Gali 36, Cantt, Multan"
KAR-7290,Sardar Mansoor Shirazi,2000,Hyundai Tucson,2018,"House No. 159, Gali 36, Cantt, Multan"
KAR-4326,Sana Gondal,2700,Toyota Prado TX,2025,"40-19 Bahria Phase 4, Rawalpindi"
ICT-2355,Sana Gondal,2700,Toyota Fortuner,2019,"40-19 Bahria Phase 4, Rawalpindi"
AFR-5289,Naveed Janjua,1500,Honda Civic RS,2019,"192-15 Clifton Block 2, Karachi"
LEA-2774,Naveed Janjua,2000,Mercedes C200,2025,"192-15 Clifton Block 2, Karachi"
KAR-8271,S. Abbasi,2000,Hyundai Tucson,2023,H#1 St-40 ModelTown Lahore
RIR-1581,S. Abbasi,2000,Hyundai Tucson,2024,H#1 St-40 ModelTown Lahore
AFR-7117,S. Abbasi,3300,Toyota Land Cruiser ZX,2019,H#1 St-40 ModelTown Lahore
KAR-1005,R. Naqvi,2000,Mercedes C200,2021,H#260 St-36 DGround Faisalabad
ICT-120,R. Naqvi,1500,Honda Civic RS,2023,H#260 St-36 DGround Faisalabad
KAR-5748,R. Naqvi,2700,Toyota Fortuner,2017,H#260 St-36 DGround Faisalabad
AFR-9552,Tooba قریشی,2700,Toyota Fortuner,2017,"301-16 D Ground, Faisalabad"
AFR-3926,Tooba قریشی,3300,Toyota Land Cruiser ZX,2021,"301-16 D Ground, Faisalabad"
RIR-8631,Tooba قریشی,2000,Hyundai Tucson,2022,"301-16 D Ground, Faisalabad"
KAR-5331,I.Kayani,3300,Toyota Land Cruiser ZX,2020,مکان 8 گلی 22 Cantt Multan
RIR-184,I.Kayani,1800,Toyota Corolla Altis,2017,مکان 8 گلی 22 Cantt Multan
LEA-141,I.Kayani,2000,Audi e-tron,2022,مکان 8 گلی 22 Cantt Multan
AFR-5968,Pervez Yousafzai,2000,Mercedes C200,2022,"House 69, Street 31, Bahria Phase 4, Rawalpindi"
ICT-185,Pervez Yousafzai,1800,Toyota Corolla Altis,2024,"House 69, Street 31, Bahria Phase 4, Rawalpindi"
KAR-8050,Nimra Durrani,2700,Toyota Prado TX,2019,"192-25 Shah Rukn-e-Alam, Multan"
LEA-9076,Zara Naqvi,2000,Mercedes C200,2018,"House 154, Street 18, Westridge, Rawalpindi"
ICT-5467,Zara Naqvi,1500,Honda Civic RS,2024,"House 154, Street 18, Westridge, Rawalpindi"
KAR-1918,Zara Naqvi,2000,Mercedes C200,2025,"House 154, Street 18, Westridge, Rawalpindi"
ICT-1665,Fahad Janjua,1800,Toyota Corolla Altis,2019,"House 170, Street 6, Johar Town, Lahore"
KAR-9545,Fahad Janjua,1800,Toyota Corolla Altis,2022,"House 170, Street 6, Johar Town, Lahore"
AFR-6237,Rana Bilal Tarar,2000,Hyundai Tucson,2023,"House No. 185, Gali 35, Peoples Colony, Faisalabad"
LEA-786,Rana Bilal Tarar,2000,Mercedes C200,2020,"House No. 185, Gali 35, Peoples Colony, Faisalabad"
KAR-8873,Kashif Warraich,2700,Toyota Fortuner,2018,"296-18 DHA Phase 6, Karachi"
LEA-153,Kashif Warraich,2000,Audi e-tron,2023,"296-18 DHA Phase 6, Karachi"
AFR-3496,Kashif Warraich,2000,Audi e-tron,2026,"296-18 DHA Phase 6, Karachi"
LEA-1000,Chaudhary Kamran Shirazi,2000,Mercedes C200,2019,"House No. 338, Gali 20, DHA Phase 5, Lahore"
AFR-1866,Syed Kamran Shirazi,2000,Audi e-tron,2018,"House No. 338, Gali 20, DHA Phase 5, Lahore"
ICT-2160,Sardar Kamran Shirazi,2000,Audi e-tron,2022,"House No. 338, Gali 20, DHA Phase 5, Lahore"
KAR-8001,Mian Hafsa Siddiqui,3300,Toyota Land Cruiser ZX,2018,"House No. 172, Gali 28, Hayatabad Phase 3, Peshawar"
RIR-9072,F.Niazi,2700,Toyota Prado TX,2022,مکان 272 گلی 16 F-8/3 اسلام آباد
LEA-1326,F.Niazi,1800,Toyota Corolla Altis,2019,مکان 272 گلی 16 F-8/3 اسلام آباد
ICT-3592,Ayesha Naqvi,2700,Toyota Prado TX,2021,"House 235, Street 6, Gulshan-e-Iqbal, Karachi"
ICT-1195,Ayesha Naqvi,2000,Audi e-tron,2026,"House 235, Street 6, Gulshan-e-Iqbal, Karachi"
AFR-5737,Ayesha Naqvi,2000,Audi e-tron,2020,"House 235, Street 6, Gulshan-e-Iqbal, Karachi"
AFR-3764,N. Yousafzai,2000,Audi e-tron,2017,H#175 St-12 BahriaPhase4 Rawalpindi
AFR-3769,M. Sial,2000,Audi e-tron,2018,H#250 St-21 Gulbahar Peshawar
LEA-8733,M. Sial,2700,Toyota Fortuner,2026,H#250 St-21 Gulbahar Peshawar
ICT-6799,Laiba Malik,2000,Audi e-tron,2023,"House 54, Street 5, Gulberg III, Lahore"
ICT-2303,Laiba Malik,2000,Audi e-tron,2023,"House 54, Street 5, Gulberg III, Lahore"
RIR-1867,Laiba Malik,3300,Toyota Land Cruiser ZX,2020,"House 54, Street 5, Gulberg III, Lahore"
LEA-4628,Laiba Khattak,2700,Toyota Prado TX,2019,"House 20, Street 12, North Nazimabad, Karachi"
LEA-4609,Laiba Khattak,1800,Toyota Corolla Altis,2022,"House 20, Street 12, North Nazimabad, Karachi"
RIR-7360,A.Orakzai,2700,Toyota Prado TX,2022,مکان 121 گلی 1 Gulshan-e-Iqbal کراچی
AFR-5461,A.Orakzai,2000,Mercedes C200,2017,مکان 121 گلی 1 Gulshan-e-Iqbal کراچی
KAR-2056,T.Cheema,2000,Audi e-tron,2021,مکان 24 گلی 38 E-11/2 اسلام آباد
ICT-6570,T.Cheema,3300,Toyota Land Cruiser ZX,2017,مکان 24 گلی 38 E-11/2 اسلام آباد
AFR-698,Khadija Orakzai,1500,Honda Civic RS,2025,"House 365, Street 36, Madina Town, Faisalabad"
LEA-3235,Khadija Orakzai,1800,Toyota Corolla Altis,2018,"House 365, Street 36, Madina Town, Faisalabad"
KAR-3034,Khadija Orakzai,2000,Mercedes C200,2017,"House 365, Street 36, Madina Town, Faisalabad"
AFR-4891,Chaudhary Yousuf Tareen,2700,Toyota Fortuner,2019,"House No. 184, Gali 29, Peoples Colony, Faisalabad"
RIR-4302,K.Mughal,3300,Toyota Land Cruiser ZX,2024,مکان 70 گلی 26 Peoples Colony Faisalabad
RIR-7312,K.Mughal,1800,Toyota Corolla Altis,2021,مکان 70 گلی 26 Peoples Colony Faisalabad
KAR-7041,Atif چوہدری,2700,Toyota Prado TX,2022,"102-38 DHA Phase 5, Lahore"
LEA-2916,Arsalan Yousafzai,2000,Mercedes C200,2023,"163-32 F-8/3, Islamabad"
AFR-4088,Luqman Khokhar,2700,Toyota Prado TX,2024,"House 397, Street 20, Gulshan-e-Iqbal, Karachi"
LEA-1626,U. Mughal,2000,Hyundai Tucson,2018,H#12 St-16 ShahRukn-e-Alam Multan
KAR-4555,U. Mughal,1500,Honda Civic RS,2022,H#12 St-16 ShahRukn-e-Alam Multan
AFR-2007,M.Mughal,3300,Toyota Land Cruiser ZX,2023,مکان 265 گلی 26 Johar Town لاہور
RIR-4182,M.Mughal,2700,Toyota Fortuner,2019,مکان 265 گلی 26 Johar Town لاہور
LEA-5693,Sardar Fatima Malik,2700,Toyota Prado TX,2018,"House No. 77, Gali 39, Westridge, Rawalpindi"
ICT-7414,Rana Fatima Malik,1500,Honda Civic RS,2018,"House No. 77, Gali 39, Westridge, Rawalpindi"
KAR-6114,Luqman راجہ,1800,Toyota Corolla Altis,2019,"279-27 Wapda Town, Lahore"
RIR-4151,Tooba Rajput,3300,Toyota Land Cruiser ZX,2024,"46-5 Madina Town, Faisalabad"
AFR-6590,Tooba Rajput,2000,Audi e-tron,2025,"46-5 Madina Town, Faisalabad"
RIR-6196,S.Siddiqui,2700,Toyota Prado TX,2021,مکان 236 گلی 21 Gulgasht Multan
