registry_no,buyer_name,seller_name,property_address,property_value_pkr,transfer_date,area_marla,property_type
REG-843856,S. Awan,Waqas Joiya,"House 214, Street 36, Satellite Town, Rawalpindi",30345385,2023-01-10,5,Residential Plot
REG-521129,S. Awan,Laiba Kakar,"House 314, Street 16, Satellite Town, Rawalpindi",26369190,2021-02-19,10,Apartment
REG-352432,F.Khattak,Ghulam Dar,"House 7, Street 11, Madina Town, Faisalabad",48161650,2022-11-01,10,Residential Plot
REG-147941,Saqib Afridi,Nadeem Khan,"House 29, Street 25, DHA Phase 5, Lahore",69719200,2026-02-04,20,Farmhouse
REG-313301,Saqib Afridi,Noman Tarar,"House 366, Street 9, Gulberg III, Lahore",85783000,2025-11-02,10,Residential Plot
REG-526989,Chaudhary Gul Gilani,Owais Sandhu,"House 27, Street 5, University Town, Peshawar",424950560,2025-03-19,80,Residential Plot
REG-294827,Haji Mubashir Mehsud,Mehwish Mirza,"House 221, Street 6, Cantt, Multan",255528560,2022-09-13,80,Apartment
REG-799527,L. Naqvi,Obaid Zaidi,"House 68, Street 32, Westridge, Rawalpindi",39426324,2022-01-17,7,Apartment
REG-992380,L. Naqvi,Kinza Virk,"House 242, Street 30, Bahria Phase 4, Rawalpindi",75290260,2023-09-13,10,Residential House
REG-965532,B.Gondal,Salman Kakar,"House 127, Street 2, Shah Rukn-e-Alam, Multan",121933000,2022-06-09,40,Apartment
REG-957431,B.Gondal,Rabia Baig,"House 161, Street 11, Cantt, Multan",166683280,2024-03-12,40,Commercial Plaza
REG-557584,O. Afridi,Bilal Ansari,"House 56, Street 18, Model Town, Lahore",45226190,2022-01-20,10,Apartment
REG-194819,O. Afridi,Zubair Bhatti,"House 164, Street 16, Wapda Town, Lahore",31829266,2023-08-02,7,Farmhouse
REG-815734,M.Naqvi,Ayesha Ansari,"House 284, Street 21, Model Town, Lahore",53700380,2023-07-04,20,Residential Plot
REG-461737,P.Baig,Faisal Virk,"House 18, Street 17, Gulgasht, Multan",350489800,2021-11-13,40,Residential Plot
REG-760513,Usman Gill,Naveed Orakzai,"House 354, Street 30, Model Town, Lahore",13661510,2022-03-04,5,Farmhouse
REG-326822,J.Kakar,Shoaib Mughal,"House 63, Street 34, Johar Town, Lahore",11997895,2022-12-24,5,Apartment
REG-344703,Khadija Niazi,Mansoor Tarar,"House 340, Street 15, Madina Town, Faisalabad",72420650,2024-11-29,10,Apartment
REG-105103,Rida Zaidi,Bilal Saddozai,"House 259, Street 18, Chaklala Scheme 3, Rawalpindi",285278880,2021-03-19,80,Commercial Plaza
REG-648603,Chaudhary Imran Naqvi,Ehsan Kakar,"House 208, Street 5, Satellite Town, Rawalpindi",28379175,2022-11-21,5,Commercial Plaza
REG-634321,Sardar Imran Naqvi,Gul Kazmi,"House 157, Street 25, Chaklala Scheme 3, Rawalpindi",18964250,2022-11-28,5,Residential Plot
REG-482428,N. Rizvi,Rabia Qureshi,"House 196, Street 27, Bahria Phase 4, Rawalpindi",160258660,2025-07-04,20,Farmhouse
REG-631494,Syed Mustafa Kayani,Mahnoor Bhatti,"House 148, Street 39, G-10/2, Islamabad",321671040,2024-04-06,40,Residential House
REG-848282,Chaudhary Mustafa Kayani,Muhammad Raja,"House 231, Street 23, G-10/2, Islamabad",151853440,2021-10-09,40,Residential Plot
REG-919970,Mian Imran Gondal,Shahzad Mehsud,"House 393, Street 34, DHA Phase 6, Karachi",18605555,2023-10-03,5,Commercial Plaza
REG-483287,Mahnoor Baig,Zubair Dar,"House 281, Street 20, Madina Town, Faisalabad",331825600,2021-12-15,40,Residential House
REG-877415,Mahnoor Baig,Junaid Warraich,"House 110, Street 19, Madina Town, Faisalabad",68917690,2021-04-27,10,Farmhouse
REG-341372,Chaudhary Owais Lodhi,Salman Yousafzai,"House 170, Street 27, Hayatabad Phase 3, Peshawar",212931200,2026-01-05,40,Residential House
REG-617824,Mian Owais Lodhi,Zafar Cheema,"House 298, Street 40, Hayatabad Phase 3, Peshawar",67153670,2025-07-11,10,Commercial Plaza
REG-297670,A. Chaudhry,Nimra Zaidi,"House 243, Street 28, Hayatabad Phase 3, Peshawar",46474498,2022-01-31,7,Residential Plot
REG-563195,Sardar Hussain Shirazi,Salman Orakzai,"House 245, Street 16, University Town, Peshawar",97932860,2024-04-06,20,Residential Plot
REG-661265,Syed Hussain Shirazi,Babar Abbasi,"House 59, Street 16, University Town, Peshawar",246786880,2025-01-23,80,Residential House
REG-983667,Adnan Ansari,Adnan Khattak,"House 228, Street 30, B-17, Islamabad",28201515,2022-09-03,5,Farmhouse
REG-817958,Arsalan Kazmi,Khalid Mirza,"House 28, Street 16, Model Town, Lahore",649145920,2021-12-21,80,Residential Plot
REG-695923,Arsalan Kazmi,Mubashir Khan,"House 168, Street 21, Model Town, Lahore",33523217,2023-10-06,7,Residential House
REG-514622,Malik Mansoor Bhatti,Yasir Gill,"House 360, Street 9, Chaklala Scheme 3, Rawalpindi",86877080,2025-03-30,10,Residential Plot
REG-107438,Syed Shahzad Baig,Farhan Rajput,"House 202, Street 38, G-10/2, Islamabad",41423660,2023-01-02,5,Apartment
REG-301378,R. Hashmi,Qasim Butt,"House 277, Street 26, B-17, Islamabad",14994834,2023-12-31,3,Apartment
REG-195640,Mian Iqra Orakzai,Zeeshan Yousafzai,"House 121, Street 6, D Ground, Faisalabad",63889800,2026-02-01,10,Apartment
REG-278849,Syed Iqra Orakzai,Hafsa Virk,"House 184, Street 40, D Ground, Faisalabad",66365560,2021-02-12,10,Commercial Plaza
REG-555572,M. Lodhi,Iqra Dar,"House 105, Street 8, Model Town, Lahore",45203060,2024-07-25,20,Commercial Plaza
REG-574547,M. Lodhi,Usman Tareen,"House 394, Street 7, Johar Town, Lahore",31597328,2025-12-31,7,Farmhouse
REG-908735,Zubair Virk,Kinza Abbasi,"House 290, Street 30, Gulgasht, Multan",33349463,2023-01-15,7,Commercial Plaza
REG-300886,Syed Luqman Tarar,Mehwish Kakar,"House 330, Street 17, Westridge, Rawalpindi",62316786,2022-07-20,7,Residential House
REG-553657,N.Saddozai,Imran Awan,"House 15, Street 18, North Nazimabad, Karachi",9464400,2026-03-16,5,Apartment
REG-497601,N.Saddozai,Nadeem Saddozai,"House 186, Street 25, Gulshan-e-Iqbal, Karachi",329271880,2022-07-11,40,Residential Plot
REG-574778,Mansoor Janjua,Salman Lodhi,"House 375, Street 32, DHA Phase 6, Karachi",158724080,2021-06-24,40,Farmhouse
REG-810261,Mansoor Janjua,Nimra Ansari,"House 176, Street 27, Clifton Block 2, Karachi",33030240,2023-02-18,10,Residential House
REG-907473,Nimra Rizvi,Javeria Virk,"House 394, Street 2, Peoples Colony, Faisalabad",23164010,2022-01-26,5,Residential Plot
REG-604863,T. Malik,Noor Tareen,"House 310, Street 26, Chaklala Scheme 3, Rawalpindi",10998475,2025-03-03,5,Residential House
REG-406400,T. Malik,Rauf Gilani,"House 149, Street 24, Satellite Town, Rawalpindi",35550860,2025-07-05,10,Apartment
REG-423445,J. Gilani,Saba Sandhu,"House 130, Street 40, DHA Phase 6, Karachi",23352679,2025-05-29,7,Residential House
REG-899907,H.Zaidi,Mansoor Naqvi,"House 112, Street 23, F-8/3, Islamabad",159566040,2023-11-18,40,Apartment
REG-270072,A. Sheikh,Wajahat Zaidi,"House 354, Street 39, Wapda Town, Lahore",309043040,2022-04-29,40,Apartment
REG-875076,Haji Khadija Sheikh,Ali Khan,"House 288, Street 10, Wapda Town, Lahore",129417720,2022-01-31,40,Farmhouse
REG-592252,Mubashir Bangash,Usman Kayani,"House 82, Street 8, North Nazimabad, Karachi",16781880,2024-11-14,5,Farmhouse
REG-563311,A.Kayani,Shoaib Yousafzai,"House 277, Street 5, Shah Rukn-e-Alam, Multan",587411760,2021-10-11,80,Residential Plot
REG-272908,A.Kayani,Sufyan Gilani,"House 374, Street 24, Shah Rukn-e-Alam, Multan",54158190,2025-03-29,10,Farmhouse
REG-404017,Sardar Talha Kayani,Bilal Mehsud,"House 386, Street 29, Bahria Phase 4, Rawalpindi",43302845,2021-09-09,5,Apartment
REG-991782,Haji Talha Kayani,Jawad Hashmi,"House 214, Street 15, Bahria Phase 4, Rawalpindi",25326812,2024-08-29,7,Residential Plot
REG-246779,Z.Abbasi,Imran Sheikh,"House 309, Street 40, E-11/2, Islamabad",54502329,2025-07-11,7,Residential Plot
REG-704174,Z.Abbasi,Nasir Virk,"House 288, Street 18, E-11/2, Islamabad",19649273,2024-05-27,7,Residential House
REG-922040,A.Wazir,Kinza Bhatti,"House 83, Street 14, I-8/4, Islamabad",260518720,2023-06-17,80,Farmhouse
REG-706887,Haris Zaidi,Kamran Gondal,"House 263, Street 20, Satellite Town, Rawalpindi",16505125,2025-04-19,7,Commercial Plaza
REG-976555,Mian Pervez Durrani,Gul Gill,"House 287, Street 18, D Ground, Faisalabad",31362505,2023-07-29,5,Apartment
REG-296107,Haji Ali Mehsud,Tariq Niazi,"House 269, Street 17, Cantt, Multan",40709277,2022-08-14,7,Residential Plot
REG-190713,U.Bukhari,Pervez Afridi,"House 96, Street 25, Westridge, Rawalpindi",41590605,2026-01-06,5,Residential Plot
REG-700294,U.Bukhari,Wajahat Khokhar,"House 207, Street 15, Bahria Phase 4, Rawalpindi",62853686,2023-05-30,7,Apartment
REG-714549,Lubna Lodhi,Maryam Janjua,"House 153, Street 3, Gulbahar, Peshawar",40478750,2022-10-29,10,Commercial Plaza
REG-286809,Chaudhary Babar Yousafzai,Gul Warraich,"House 44, Street 11, Model Town, Lahore",11447050,2024-10-22,5,Commercial Plaza
REG-651149,E.Warraich,Talha Joiya,"House 188, Street 9, Cantt, Multan",657433840,2026-01-12,80,Apartment
REG-933364,Rana Noman Joiya,Qasim Zaidi,"House 235, Street 17, D Ground, Faisalabad",29635885,2021-03-07,5,Farmhouse
REG-164421,Haji Luqman Orakzai,Mubashir Orakzai,"House 245, Street 17, I-8/4, Islamabad",36577175,2022-12-03,5,Farmhouse
REG-300523,Sardar Iqra Rizvi,Mansoor Bukhari,"House 340, Street 17, Gulbahar, Peshawar",60379466,2025-10-02,7,Residential House
REG-754954,Rabia Kakar,Obaid Mehsud,"House 131, Street 34, Hayatabad Phase 3, Peshawar",12483330,2026-02-02,3,Farmhouse
REG-114205,A.Gill,Farhan Bukhari,"House 99, Street 21, Wapda Town, Lahore",85610390,2021-08-27,10,Farmhouse
REG-506383,A.Gill,Kamran Sandhu,"House 74, Street 28, Model Town, Lahore",77693520,2021-04-20,20,Apartment
REG-920493,A.Bhatti,Fatima Butt,"House 233, Street 20, University Town, Peshawar",675597440,2022-01-08,80,Apartment
REG-441615,A.Bhatti,Adnan Butt,"House 298, Street 4, University Town, Peshawar",254105320,2024-11-18,40,Farmhouse
REG-313618,Muhammad Sheikh,Ghulam Kayani,"House 135, Street 33, Clifton Block 2, Karachi",223138000,2025-01-29,40,Farmhouse
REG-689178,Muhammad Sheikh,Khadija Raja,"House 209, Street 18, Gulshan-e-Iqbal, Karachi",60009236,2025-01-03,7,Apartment
REG-953163,F. Bukhari,Rabia Bhatti,"House 75, Street 30, I-8/4, Islamabad",235072160,2024-06-17,80,Residential House
REG-848326,Hina خان,Zainab Wazir,"House 350, Street 1, Gulberg III, Lahore",50645590,2023-10-19,10,Farmhouse
REG-635463,Sardar Ahmed Gilani,Tooba Wazir,"House 100, Street 11, Gulberg III, Lahore",86963400,2025-07-28,20,Farmhouse
REG-423834,Mian Wajahat Baig,Iqra Khattak,"House 147, Street 11, Gulbahar, Peshawar",413221120,2024-04-28,80,Residential Plot
REG-485422,Malik Wajahat Baig,Zara Tareen,"House 196, Street 29, Gulbahar, Peshawar",66836150,2025-10-29,10,Farmhouse
REG-934758,M.Sial,Iqra Zaidi,"House 98, Street 29, North Nazimabad, Karachi",17452316,2026-03-02,7,Residential House
REG-768811,Q. Malik,Javeria Kayani,"House 24, Street 21, Shah Rukn-e-Alam, Multan",46519515,2023-03-09,7,Residential Plot
REG-588157,Zubair Naqvi,Rida Khattak,"House 131, Street 14, Satellite Town, Rawalpindi",41882825,2022-11-01,5,Residential House
REG-611538,Bushra Khattak,Lubna Cheema,"House 206, Street 11, Cantt, Multan",59443980,2021-01-31,20,Farmhouse
REG-534246,Bushra Khattak,Muhammad Saddozai,"House 239, Street 24, Cantt, Multan",285187600,2023-09-17,80,Residential Plot
REG-507027,R.Virk,Bushra Yousafzai,"House 392, Street 8, Gulbahar, Peshawar",16226667,2026-03-08,3,Farmhouse
REG-638567,J. Gondal,Faisal Baig,"House 166, Street 40, DHA Phase 6, Karachi",320588560,2025-09-26,40,Residential House
REG-295983,W. Joiya,Saba Yousafzai,"House 127, Street 20, Peoples Colony, Faisalabad",21709035,2024-11-18,3,Commercial Plaza
REG-620539,Malik Mahnoor Naqvi,Farah Durrani,"House 226, Street 20, E-11/2, Islamabad",30442150,2025-01-21,5,Residential House
REG-916631,Malik Khadija Chaudhry,Uzma Chaudhry,"House 207, Street 23, Johar Town, Lahore",298246080,2022-07-19,80,Apartment
REG-184408,Rana Khadija Chaudhry,Adnan Raja,"House 25, Street 39, Model Town, Lahore",89006000,2023-02-06,20,Farmhouse
REG-378094,M.Afridi,Shoaib Abbasi,"House 335, Street 38, DHA Phase 6, Karachi",147705160,2021-04-12,20,Residential Plot
REG-689656,N. Naqvi,Rabia Rajput,"House 79, Street 1, B-17, Islamabad",212460240,2024-01-28,40,Residential Plot
REG-853828,N. Naqvi,Owais Niazi,"House 131, Street 8, F-8/3, Islamabad",9911350,2023-06-13,5,Apartment
REG-462894,Nasir Virk,Bushra Abbasi,"House 201, Street 29, Shah Rukn-e-Alam, Multan",29468205,2024-07-09,5,Residential House
REG-862517,M. Zaidi,Naveed Mughal,"House 125, Street 10, Satellite Town, Rawalpindi",303169560,2024-01-27,40,Farmhouse
REG-277454,M. Zaidi,Obaid Sial,"House 302, Street 19, Satellite Town, Rawalpindi",107463140,2026-01-26,20,Apartment
REG-171081,Mehwish Tarar,Hassan Wazir,"House 333, Street 23, Gulbahar, Peshawar",205555760,2025-01-20,40,Residential Plot
REG-356977,Mehwish Tarar,Khalid Shirazi,"House 281, Street 23, University Town, Peshawar",58362480,2022-08-03,10,Residential House
REG-232389,Rana Sufyan Janjua,Haris Butt,"House 156, Street 19, Cantt, Multan",7924797,2022-11-11,3,Apartment
REG-774583,Hafsa Kakar,Zara Sheikh,"House 199, Street 19, Wapda Town, Lahore",283298200,2023-11-27,40,Farmhouse
REG-463529,Atif Sheikh,Lubna Sandhu,"House 60, Street 28, Satellite Town, Rawalpindi",41406795,2025-12-14,5,Residential House
REG-903594,Atif Sheikh,Saad Afridi,"House 270, Street 9, Chaklala Scheme 3, Rawalpindi",33409054,2021-09-29,7,Farmhouse
REG-269781,Khadija Afridi,Shoaib Khokhar,"House 164, Street 6, Gulshan-e-Iqbal, Karachi",268546480,2024-02-04,40,Residential House
REG-752676,Q.Durrani,Kamran Kayani,"House 104, Street 3, Hayatabad Phase 3, Peshawar",14054820,2021-01-29,5,Residential House
REG-787631,Q.Durrani,Nasir Warraich,"House 382, Street 2, Hayatabad Phase 3, Peshawar",36518160,2025-07-05,20,Residential Plot
REG-910231,Syed Anas Kazmi,Laiba Chaudhry,"House 302, Street 40, Gulgasht, Multan",678851840,2021-06-01,80,Residential Plot
REG-360019,Bushra Joiya,Wajahat Janjua,"House 81, Street 35, Bahria Phase 4, Rawalpindi",17386245,2025-01-18,5,Residential House
REG-511781,B. Zaidi,Asad Ansari,"House 325, Street 8, Model Town, Lahore",46482597,2022-04-16,7,Residential Plot
REG-325185,Mubashir Mirza,Hafsa Zaidi,"House 310, Street 35, Gulbahar, Peshawar",378807120,2022-11-24,80,Apartment
REG-659102,Rana Taimoor Mirza,Mansoor Orakzai,"House 71, Street 20, B-17, Islamabad",175990120,2025-10-09,20,Farmhouse
REG-592529,Chaudhary Taimoor Mirza,Muhammad Janjua,"House 157, Street 18, E-11/2, Islamabad",179120880,2022-02-21,40,Residential House
REG-724084,حسن Abbasi,Luqman Mehsud,"House 351, Street 22, Gulshan-e-Iqbal, Karachi",43435710,2024-01-05,5,Farmhouse
REG-971339,Sardar Nadia Baig,Kashif Gilani,"House 194, Street 23, North Nazimabad, Karachi",288281640,2024-03-20,40,Commercial Plaza
REG-738341,Malik Kamran Khokhar,Nadeem Kayani,"House 337, Street 17, Gulberg III, Lahore",10011249,2025-10-08,3,Residential Plot
REG-137688,Mehwish Afridi,Ibrahim Raja,"House 316, Street 22, Model Town, Lahore",21665630,2022-03-31,7,Commercial Plaza
REG-447474,Salman Niazi,Yasir Malik,"House 48, Street 31, Madina Town, Faisalabad",168877900,2022-02-03,20,Commercial Plaza
REG-929561,Salman Niazi,Tooba Qureshi,"House 370, Street 22, D Ground, Faisalabad",21592080,2023-03-19,10,Commercial Plaza
REG-348228,K.Durrani,Mahnoor Chaudhry,"House 378, Street 33, Shah Rukn-e-Alam, Multan",52878714,2025-01-28,7,Apartment
REG-106566,H.Naqvi,Madiha Mirza,"House 185, Street 21, Gulshan-e-Iqbal, Karachi",258181760,2021-05-25,40,Residential House
REG-363707,S. Hashmi,Fatima Ansari,"House 62, Street 28, Gulgasht, Multan",86325120,2021-07-18,40,Farmhouse
REG-405009,A.Raja,Noman Sial,"House 120, Street 27, E-11/2, Islamabad",40054021,2023-09-24,7,Commercial Plaza
REG-487976,A.Raja,Talha Kakar,"House 20, Street 26, E-11/2, Islamabad",44823160,2021-09-26,5,Farmhouse
REG-828575,Mustafa Zaidi,Fahad Awan,"House 390, Street 1, G-13/1, Islamabad",229132680,2023-12-07,40,Commercial Plaza
REG-632447,Haris Janjua,Babar Kazmi,"House 336, Street 39, Gulbahar, Peshawar",56116070,2022-05-14,10,Residential House
REG-318648,Junaid Mirza,Khalid Ansari,"House 122, Street 8, Gulgasht, Multan",315221120,2021-01-25,80,Farmhouse
REG-551472,Junaid Mirza,Zeeshan Virk,"House 304, Street 25, Gulgasht, Multan",41429985,2023-03-29,5,Commercial Plaza
REG-548562,U. Ansari,Mustafa Mirza,"House 23, Street 39, Model Town, Lahore",28144960,2026-02-19,10,Apartment
REG-339366,B.Orakzai,Ghulam Bangash,"House 234, Street 14, Bahria Phase 4, Rawalpindi",31154375,2023-06-27,7,Apartment
REG-319151,S. Cheema,Kinza Afridi,"House 186, Street 25, Cantt, Multan",49546910,2021-12-29,7,Residential Plot
REG-127512,Noman Rajput,Yousuf Naqvi,"House 276, Street 6, Westridge, Rawalpindi",18376665,2021-12-08,5,Residential Plot
REG-268001,Zafar Zaidi,Haris Gilani,"House 221, Street 29, Shah Rukn-e-Alam, Multan",28082475,2022-10-27,5,Residential House
REG-685819,Irfan Warraich,Nadia Wazir,"House 393, Street 20, University Town, Peshawar",24633742,2023-09-30,7,Farmhouse
REG-694886,Irfan Warraich,Sana Janjua,"House 363, Street 25, Hayatabad Phase 3, Peshawar",29688120,2021-03-27,5,Farmhouse
REG-133086,Haji Khadija Afridi,Bilal Zaidi,"House 207, Street 24, Bahria Phase 4, Rawalpindi",36155560,2025-07-17,5,Apartment
REG-325267,Syed Khadija Afridi,Sana Chaudhry,"House 111, Street 23, Bahria Phase 4, Rawalpindi",39511520,2023-03-30,10,Residential House
REG-986057,Mian Farah Siddiqui,Faisal Tareen,"House 113, Street 31, Chaklala Scheme 3, Rawalpindi",391307600,2021-05-24,80,Commercial Plaza
REG-133186,A. Mughal,Ahmed Baig,"House 191, Street 3, Johar Town, Lahore",349739280,2026-03-13,40,Commercial Plaza
REG-103507,A. Mughal,Obaid Orakzai,"House 330, Street 35, Gulberg III, Lahore",274696720,2022-12-29,40,Residential House
REG-927113,U. Gondal,Uzma Sandhu,"House 375, Street 33, Chaklala Scheme 3, Rawalpindi",21392160,2023-06-27,5,Farmhouse
REG-946822,Chaudhary Waseem Rizvi,Adnan Dar,"House 243, Street 14, Gulbahar, Peshawar",509836720,2021-04-20,80,Apartment
REG-950734,Rana Waseem Rizvi,Tariq Kayani,"House 204, Street 8, Gulbahar, Peshawar",37849180,2025-11-17,10,Farmhouse
REG-590813,H.Abbasi,Javeria Virk,"House 308, Street 12, Madina Town, Faisalabad",14460030,2021-05-04,5,Residential Plot
REG-501048,S.Kayani,Mahnoor Naqvi,"House 137, Street 2, Bahria Phase 4, Rawalpindi",647023600,2025-09-07,80,Residential Plot
REG-406468,S.Kayani,Saqib Raja,"House 20, Street 6, Satellite Town, Rawalpindi",289605280,2022-03-31,80,Apartment
REG-628494,Zubair Sial,Farhan Gilani,"House 133, Street 15, Westridge, Rawalpindi",26826100,2025-11-10,5,Apartment
REG-591468,Farhan Cheema,Saba Gill,"House 256, Street 25, Bahria Phase 4, Rawalpindi",155398660,2022-04-24,20,Residential House
REG-458877,Noor چوہدری,Qasim Bangash,"House 199, Street 12, Shah Rukn-e-Alam, Multan",328565120,2025-02-05,80,Residential Plot
REG-200876,Noor چوہدری,Wajahat Ansari,"House 104, Street 13, Shah Rukn-e-Alam, Multan",30327525,2025-05-20,5,Residential House
REG-762431,Sardar Shoaib Khan,Sadia Kakar,"House 61, Street 9, Hayatabad Phase 3, Peshawar",17989986,2021-11-06,7,Commercial Plaza
REG-638579,Syed Shoaib Khan,Noor Rajput,"House 41, Street 31, Hayatabad Phase 3, Peshawar",53976454,2025-11-26,7,Residential Plot
REG-199672,محمد خان,Bushra Malik,"House 194, Street 35, Cantt, Multan",24031945,2025-07-06,7,Residential House
REG-542625,محمد خان,Luqman Cheema,"House 70, Street 24, Shah Rukn-e-Alam, Multan",298858400,2021-07-28,80,Residential Plot
REG-416915,L.Siddiqui,Farhan Awan,"House 50, Street 34, Bahria Phase 4, Rawalpindi",45908548,2025-06-24,7,Farmhouse
REG-587680,U. Naqvi,Farhan Dar,"House 198, Street 30, D Ground, Faisalabad",22946740,2022-02-19,5,Residential Plot
REG-692713,Malik Bushra Yousafzai,Madiha Hashmi,"House 316, Street 32, Gulgasht, Multan",19206299,2025-05-24,7,Apartment
REG-593245,Rana Atif Gill,Rida Kazmi,"House 211, Street 21, Clifton Block 2, Karachi",61275220,2025-09-15,20,Residential Plot
REG-244070,Muhammad Tarar,Imran Orakzai,"House 27, Street 38, Madina Town, Faisalabad",338567760,2022-04-29,80,Apartment
REG-216378,Ahmed Virk,Asad Mehsud,"House 105, Street 20, G-10/2, Islamabad",20192940,2023-08-07,5,Apartment
REG-609742,Bushra Zaidi,Qasim Sheikh,"House 390, Street 24, I-8/4, Islamabad",29592680,2023-10-15,10,Farmhouse
REG-169851,Bushra Zaidi,Yousuf Abbasi,"House 355, Street 24, B-17, Islamabad",63222960,2023-11-19,10,Residential Plot
REG-702908,Umar Rajput,Khalid Chaudhry,"House 353, Street 12, Shah Rukn-e-Alam, Multan",38526950,2023-08-04,5,Farmhouse
REG-885403,Fatima Khan,Yousuf Siddiqui,"House 279, Street 19, Gulbahar, Peshawar",72598550,2022-12-07,10,Farmhouse
REG-927522,Fatima Khan,Rehan Lodhi,"House 292, Street 29, University Town, Peshawar",58748655,2024-04-18,7,Commercial Plaza
REG-526105,Chaudhary Shoaib Wazir,Yasir Rizvi,"House 150, Street 22, Chaklala Scheme 3, Rawalpindi",38537560,2025-08-03,5,Farmhouse
REG-658952,Syed Mubashir Rizvi,Usman Khan,"House 304, Street 13, University Town, Peshawar",118476340,2022-01-18,20,Residential House
REG-750966,Malik Mubashir Rizvi,Mustafa Lodhi,"House 119, Street 13, Gulbahar, Peshawar",49414316,2025-12-29,7,Farmhouse
REG-816085,Amna Janjua,Arsalan Mughal,"House 358, Street 22, Shah Rukn-e-Alam, Multan",544103520,2024-01-21,80,Commercial Plaza
REG-887101,Amna Janjua,Javeria Bukhari,"House 299, Street 10, Shah Rukn-e-Alam, Multan",53515420,2023-08-31,10,Commercial Plaza
REG-960464,Syed Ehsan Virk,Hassan Dar,"House 397, Street 9, Cantt, Multan",17586205,2021-11-14,5,Residential House
REG-208957,M.Durrani,Tariq Khan,"House 71, Street 23, Clifton Block 2, Karachi",129151260,2023-10-18,20,Residential House
REG-458177,M.Durrani,Zeeshan Dar,"House 319, Street 2, North Nazimabad, Karachi",62916938,2024-06-13,7,Commercial Plaza
REG-944687,Zara Afridi,Hamza Mehsud,"House 382, Street 26, DHA Phase 6, Karachi",81908880,2023-01-09,40,Farmhouse
REG-361754,Y. Joiya,Ehsan Janjua,"House 32, Street 13, G-10/2, Islamabad",40237170,2021-05-24,5,Farmhouse
REG-832615,Y. Joiya,Owais Hashmi,"House 258, Street 14, G-13/1, Islamabad",291535920,2023-09-08,40,Residential House
REG-124472,U. Tareen,Tooba Qureshi,"House 272, Street 23, Clifton Block 2, Karachi",160489240,2024-04-25,20,Residential Plot
REG-226326,Sardar Obaid Wazir,Zara Bukhari,"House 279, Street 40, G-10/2, Islamabad",230662320,2025-11-23,80,Residential Plot
REG-755128,Saba Zaidi,Zubair Hashmi,"House 117, Street 21, Shah Rukn-e-Alam, Multan",16916480,2021-05-08,7,Commercial Plaza
REG-328442,U.Kazmi,Rashid Khan,"House 375, Street 10, Model Town, Lahore",34460225,2024-11-23,5,Farmhouse
REG-344959,U.Kazmi,Rashid Saddozai,"House 282, Street 19, DHA Phase 5, Lahore",438539440,2022-04-06,80,Apartment
REG-806158,U.Malik,Haris Bangash,"House 126, Street 5, Cantt, Multan",27811855,2022-09-30,5,Residential Plot
REG-358925,U.Malik,Zafar Dar,"House 245, Street 33, Gulgasht, Multan",10890395,2024-04-08,5,Residential House
REG-925522,Madiha Kayani,Mansoor Malik,"House 2, Street 37, B-17, Islamabad",29499440,2024-09-24,5,Residential Plot
REG-991577,Noman Naqvi,Faisal Qureshi,"House 220, Street 12, Chaklala Scheme 3, Rawalpindi",26363955,2022-10-22,5,Farmhouse
REG-333820,S. Gill,Mansoor Awan,"House 269, Street 13, Bahria Phase 4, Rawalpindi",80387160,2022-01-25,40,Farmhouse
REG-462623,M. Judge,Sajid Mirza,"House 90, Street 23, F-8/3, Islamabad",293161840,2022-01-31,40,Residential House
REG-382200,M. Judge,Maryam Sheikh,"House 8, Street 9, B-17, Islamabad",80211640,2022-11-23,10,Residential House
REG-496213,A.Ahmed,Moiz Judge,"House 236, Street 27, G-10/2, Islamabad",47706030,2025-12-22,10,Apartment
REG-609662,s. haseeb,Amna Khokhar,"House 40, Street 39, G-10/2, Islamabad",25804785,2021-06-03,5,Residential Plot
REG-571441,s. haseeb,Shoaib Siddiqui,"House 64, Street 6, G-10/2, Islamabad",38554376,2023-12-23,7,Commercial Plaza
REG-641664,sajid Ahmed,Amna Rajput,"House 3, Street 34, G-10/2, Islamabad",95760960,2021-09-21,20,Commercial Plaza
REG-928189,Maryam Siddiqui,Tooba Siddiqui,"House 395, Street 23, I-8/4, Islamabad",61425224,2024-01-11,7,Apartment
REG-453380,Pervez Mirza,Ubaid Mirza,"House 2, Street 10, Clifton Block 2, Karachi",178891560,2021-11-10,40,Commercial Plaza
REG-130841,Pervez Mirza,Gul Kakar,"House 131, Street 30, North Nazimabad, Karachi",100247780,2022-05-11,20,Commercial Plaza
REG-550242,I.Dar,Nadeem Dar,"House 33, Street 2, Cantt, Multan",183797600,2021-08-10,80,Farmhouse
REG-185790,I.Dar,Nadeem Dar,"House 293, Street 31, Gulgasht, Multan",41439377,2024-08-27,7,Farmhouse
REG-727378,Rehan Sandhu,Yasir Sandhu,"House 321, Street 10, DHA Phase 5, Lahore",709442320,2025-12-24,80,Apartment
REG-953722,F. Qureshi,Luqman Niazi,"House 378, Street 13, Satellite Town, Rawalpindi",32521300,2024-09-14,5,Residential Plot
REG-277177,Haris Gill,Usman Gill,"House 166, Street 21, Westridge, Rawalpindi",180250720,2025-06-08,40,Commercial Plaza
REG-548305,Haris Gill,Usman Gill,"House 7, Street 28, Chaklala Scheme 3, Rawalpindi",84613350,2023-07-09,10,Commercial Plaza
