meter_ref_no,consumer_name,installation_address,avg_monthly_bill_pkr,connection_type
MTR-57110714,Obaid Siddiqui,"House 292, Street 11, Clifton Block 2, Karachi",393085,Domestic
MTR-58671129,Yasir Tarar,"House 116, Street 20, F-8/3, Islamabad",48103,Domestic
MTR-77447021,احمد Abbasi,"110-38 Johar Town, Lahore",14791,Domestic
MTR-33255537,R.Malik,مکان 157 گلی 29 Madina Town Faisalabad,52744,Domestic
MTR-54463732,P. Khattak,H#162 St-7 ShahRukn-e-Alam Multan,23927,Commercial
MTR-20260135,Khalid Butt,"House 55, Street 37, Satellite Town, Rawalpindi",7000,Commercial
MTR-17154872,Nasir Tareen,"House 376, Street 39, Shah Rukn-e-Alam, Multan",322687,Domestic
MTR-22242273,Nadeem Malik,"House 119, Street 29, D Ground, Faisalabad",56158,Domestic
MTR-80589783,Nimra Gilani,"House 224, Street 20, Satellite Town, Rawalpindi",254267,Domestic
MTR-91371863,M. Shirazi,H#66 St-13 Gulgasht Multan,42750,Domestic
MTR-89550375,S.Joiya,مکان 81 گلی 8 G-13/1 اسلام آباد,32077,Domestic
MTR-18107545,Talha Abbasi,"87-5 Cantt, Multan",17443,Commercial
MTR-87065058,احمد Gill,"107-14 DHA Phase 5, Lahore",246809,Commercial
MTR-33322984,Syed Yasir Mirza,"House No. 207, Gali 30, Gulgasht, Multan",58688,Commercial
MTR-61216213,Hamza Kayani,"House 2, Street 2, E-11/2, Islamabad",10314,Domestic
MTR-57911571,A.Janjua,مکان 104 گلی 30 Westridge راولپنڈی,300844,Domestic
MTR-73629207,Ahmed Rizvi,"House 173, Street 20, Gulbahar, Peshawar",15556,Domestic
MTR-55193367,Y.Butt,مکان 306 گلی 38 G-10/2 اسلام آباد,222897,Domestic
MTR-93599023,N.Janjua,مکان 50 گلی 34 Clifton Block 2 کراچی,335907,Commercial
MTR-18945324,K.Sandhu,مکان 391 گلی 16 Chaklala Scheme 3 راولپنڈی,153493,Domestic
MTR-48572183,Sardar Amna Shirazi,"House No. 146, Gali 38, Madina Town, Faisalabad",45121,Commercial
MTR-36655076,Z.Sheikh,مکان 137 گلی 2 Peoples Colony Faisalabad,210064,Domestic
MTR-23780909,عائشہ چوہدری,"353-21 Gulshan-e-Iqbal, Karachi",249640,Domestic
MTR-99977543,Haji Sadia Orakzai,"House No. 282, Gali 8, DHA Phase 5, Lahore",8730,Domestic
MTR-47368212,R.Malik,مکان 59 گلی 3 Model Town لاہور,47837,Domestic
MTR-68980412,Obaid Malik,"House 66, Street 36, G-10/2, Islamabad",23964,Domestic
MTR-33541825,N.Saddozai,مکان 66 گلی 37 Bahria Phase 4 راولپنڈی,56252,Commercial
MTR-82820442,M. Bangash,H#255 St-28 DHAPhase5 Lahore,15259,Domestic
MTR-34714123,Syed Owais Virk,"House No. 157, Gali 12, Cantt, Multan",3031,Domestic
MTR-36491642,L.Malik,مکان 46 گلی 22 G-13/1 اسلام آباد,428754,Domestic
MTR-59264953,Maryam Mughal,"388-7 Chaklala Scheme 3, Rawalpindi",316908,Domestic
MTR-36347043,F.Warraich,مکان 361 گلی 25 University Town Peshawar,34973,Domestic
MTR-62221463,Nimra Joiya,"262-18 North Nazimabad, Karachi",3092,Domestic
MTR-47252251,W.Bukhari,مکان 107 گلی 24 B-17 اسلام آباد,6060,Domestic
MTR-62434504,Sardar Ayesha Gilani,"House No. 75, Gali 9, Gulshan-e-Iqbal, Karachi",24232,Domestic
MTR-89061996,Chaudhary Noor Tarar,"House No. 281, Gali 10, Shah Rukn-e-Alam, Multan",11649,Commercial
MTR-57729283,K. Shirazi,H#84 St-23 ShahRukn-e-Alam Multan,7174,Domestic
MTR-49907228,J.Lodhi,مکان 330 گلی 6 University Town Peshawar,197933,Commercial
MTR-11870156,H.Abbasi,مکان 2 گلی 28 DHA Phase 6 کراچی,272775,Domestic
MTR-49808339,Ayesha Kazmi,"House 371, Street 5, Hayatabad Phase 3, Peshawar",11053,Domestic
MTR-73572499,A.Warraich,مکان 397 گلی 2 Gulshan-e-Iqbal کراچی,42946,Domestic
MTR-57034011,Malik Jawad Niazi,"House No. 43, Gali 12, Chaklala Scheme 3, Rawalpindi",146272,Domestic
MTR-33365221,Rana Mehwish Saddozai,"House No. 3, Gali 16, Madina Town, Faisalabad",402887,Commercial
MTR-34706443,B.Sheikh,مکان 32 گلی 13 Bahria Phase 4 راولپنڈی,17115,Domestic
MTR-31080484,L. Sheikh,H#142 St-3 G-10/2 Islamabad,12811,Domestic
MTR-22243745,A.Tareen,مکان 383 گلی 7 Shah Rukn-e-Alam Multan,12832,Domestic
MTR-28131995,S. Tareen,H#390 St-23 DHAPhase6 Karachi,38855,Domestic
MTR-33302626,Tooba Khokhar,"House 169, Street 24, Gulbahar, Peshawar",7149,Commercial
MTR-72738544,Shoaib Cheema,"House 362, Street 8, Peoples Colony, Faisalabad",385366,Domestic
MTR-69989489,Asad Sial,"354-33 G-13/1, Islamabad",26459,Domestic
MTR-17164613,Gul Shirazi,"325-25 Gulbahar, Peshawar",209154,Domestic
MTR-72162370,Ehsan Gondal,"215-36 E-11/2, Islamabad",289238,Commercial
MTR-46380619,Noor Bangash,"181-30 Madina Town, Faisalabad",246464,Domestic
MTR-22243452,Sardar Umar Kakar,"House No. 203, Gali 12, Bahria Phase 4, Rawalpindi",24099,Domestic
MTR-37542144,L.Wazir,مکان 283 گلی 23 University Town Peshawar,382452,Domestic
MTR-93660303,Sufyan Mehsud,"34-28 Shah Rukn-e-Alam, Multan",9115,Domestic
MTR-43485419,Chaudhary Kinza Saddozai,"House No. 165, Gali 4, Satellite Town, Rawalpindi",18304,Commercial
MTR-31837141,Zafar خان,"187-3 Bahria Phase 4, Rawalpindi",4955,Domestic
MTR-29094956,N. Rizvi,H#296 St-9 HayatabadPhase3 Peshawar,52612,Commercial
MTR-64582806,A.Niazi,مکان 218 گلی 39 B-17 اسلام آباد,51448,Commercial
MTR-36970702,Farah Yousafzai,"House 120, Street 20, University Town, Peshawar",34585,Domestic
MTR-26272909,Waseem Hashmi,"House 394, Street 10, Gulshan-e-Iqbal, Karachi",59471,Domestic
MTR-33241740,S.Cheema,مکان 71 گلی 35 DHA Phase 5 لاہور,5050,Domestic
MTR-72608315,D. Bukhari,H#255 St-33 WapdaTown Lahore,21907,Domestic
MTR-58120474,F. Shirazi,H#117 St-25 DHAPhase6 Karachi,186132,Domestic
MTR-77604789,J.Kakar,مکان 396 گلی 30 Model Town لاہور,15278,Domestic
MTR-86334201,Rana Hassan Khokhar,"House No. 257, Gali 30, Satellite Town, Rawalpindi",10897,Domestic
MTR-66540635,H. Malik,H#227 St-19 HayatabadPhase3 Peshawar,388996,Commercial
MTR-50699152,L.Sheikh,مکان 171 گلی 17 Bahria Phase 4 راولپنڈی,14433,Domestic
MTR-86509718,Hafsa Dar,"35-14 Westridge, Rawalpindi",230136,Domestic
MTR-56322758,Ghulam Shirazi,"271-28 Bahria Phase 4, Rawalpindi",15172,Commercial
MTR-81418194,Syed Nadeem Naqvi,"House No. 303, Gali 15, Madina Town, Faisalabad",4770,Commercial
MTR-38267065,M. Gill,H#352 St-34 HayatabadPhase3 Peshawar,354463,Domestic
MTR-45477028,Chaudhary Tariq Bhatti,"House No. 220, Gali 17, Madina Town, Faisalabad",314002,Domestic
MTR-49160298,T.Sheikh,مکان 257 گلی 39 Shah Rukn-e-Alam Multan,33967,Domestic
MTR-28405086,S.Khokhar,مکان 93 گلی 4 Cantt Multan,57882,Domestic
MTR-26855814,W. Sandhu,H#219 St-39 ShahRukn-e-Alam Multan,45553,Domestic
MTR-88472202,Waqas Yousafzai,"House 59, Street 19, Madina Town, Faisalabad",257583,Commercial
MTR-60754066,J. Ansari,H#297 St-1 E-11/2 Islamabad,26042,Commercial
MTR-77659371,Malik Obaid Gilani,"House No. 8, Gali 7, Gulbahar, Peshawar",328326,Commercial
MTR-74677370,عمران Sial,"37-29 Peoples Colony, Faisalabad",167049,Domestic
MTR-62445411,T. Kayani,H#296 St-15 ModelTown Lahore,49584,Domestic
MTR-21936735,R.Janjua,مکان 277 گلی 15 Peoples Colony Faisalabad,56662,Domestic
MTR-39350837,Farhan Yousafzai,"House 282, Street 21, Gulgasht, Multan",424274,Commercial
MTR-53256939,K. Mughal,H#93 St-35 UniversityTown Peshawar,20070,Domestic
MTR-11368069,Mubashir Kakar,"31-9 Madina Town, Faisalabad",249460,Domestic
MTR-46720284,Ali Joiya,"House 259, Street 35, Cantt, Multan",409822,Commercial
MTR-53623489,A. Mughal,H#6 St-7 G-13/1 Islamabad,37476,Domestic
MTR-74080432,Malik Jawad Kakar,"House No. 122, Gali 40, University Town, Peshawar",238028,Commercial
MTR-22443638,Rana Khadija Gondal,"House No. 179, Gali 13, Bahria Phase 4, Rawalpindi",4443,Commercial
MTR-31105796,Malik Ghulam Chaudhry,"House No. 192, Gali 22, F-8/3, Islamabad",4103,Domestic
MTR-91191452,E.Mirza,مکان 116 گلی 26 DHA Phase 5 لاہور,4113,Domestic
MTR-54784619,Umar Tareen,"99-11 Hayatabad Phase 3, Peshawar",273921,Commercial
MTR-18627930,M.Malik,مکان 383 گلی 35 Wapda Town لاہور,8139,Commercial
MTR-83736914,W.Bukhari,مکان 400 گلی 22 E-11/2 اسلام آباد,322214,Domestic
MTR-38736127,H. Abbasi,H#206 St-13 Westridge Rawalpindi,307553,Commercial
MTR-71848183,Kamran خان,"305-18 DHA Phase 6, Karachi",41353,Domestic
MTR-58413849,M. Awan,H#229 St-5 Westridge Rawalpindi,57268,Commercial
MTR-59838962,Kinza Malik,"House 62, Street 29, Madina Town, Faisalabad",325200,Commercial
MTR-57135158,S.Awan,مکان 98 گلی 11 DHA Phase 5 لاہور,21702,Domestic
MTR-74237061,G. Khan,H#139 St-14 DHAPhase5 Lahore,49423,Commercial
MTR-67316326,Sana Joiya,"327-9 North Nazimabad, Karachi",241305,Domestic
MTR-48137753,Adnan Raja,"House 121, Street 17, D Ground, Faisalabad",41741,Domestic
MTR-75638921,Arsalan Tareen,"House 182, Street 7, Westridge, Rawalpindi",28917,Commercial
MTR-98537168,Rauf Lodhi,"171-33 G-13/1, Islamabad",9846,Domestic
MTR-63240121,Junaid Kakar,"364-31 Model Town, Lahore",205496,Commercial
MTR-81854701,Zafar Awan,"House 399, Street 11, Gulgasht, Multan",12207,Domestic
MTR-17542762,T. Gill,H#326 St-26 Gulgasht Multan,355502,Domestic
MTR-38795474,M. Tareen,H#331 St-1 JoharTown Lahore,9927,Commercial
MTR-91587147,I. Gilani,H#305 St-1 PeoplesColony Faisalabad,46958,Commercial
MTR-44686278,U.Awan,مکان 1 گلی 17 North Nazimabad کراچی,18201,Domestic
MTR-82546679,Z.Mirza,مکان 10 گلی 15 Cantt Multan,13777,Commercial
MTR-82050726,S.Janjua,مکان 276 گلی 40 Johar Town لاہور,7398,Commercial
MTR-52455050,Salman Bukhari,"House 3, Street 3, Westridge, Rawalpindi",232180,Domestic
MTR-33600705,Haji Hussain Bhatti,"House No. 205, Gali 8, Gulshan-e-Iqbal, Karachi",4451,Commercial
MTR-55829084,Syed Irfan Dar,"House No. 366, Gali 23, Gulgasht, Multan",294223,Commercial
MTR-83298173,Sajid Sial,"218-10 E-11/2, Islamabad",10848,Domestic
MTR-87354492,Chaudhary Ahmed Khattak,"House No. 133, Gali 19, Gulbahar, Peshawar",9928,Domestic
MTR-11275061,Luqman Gill,"House 60, Street 13, Gulberg III, Lahore",376626,Commercial
MTR-31698843,Z.Tarar,مکان 217 گلی 14 Hayatabad Phase 3 Peshawar,274910,Domestic
MTR-33201801,Q. Chaudhry,H#175 St-7 Gulshan-e-Iqbal Karachi,5245,Domestic
MTR-80195370,N.Yousafzai,مکان 89 گلی 20 Peoples Colony Faisalabad,218563,Commercial
MTR-70023228,Owais Lodhi,"40-32 University Town, Peshawar",215205,Domestic
MTR-45379645,Haris Kazmi,"294-17 University Town, Peshawar",48114,Domestic
MTR-82258561,M.Sandhu,مکان 194 گلی 9 Cantt Multan,427182,Domestic
MTR-23730993,S. Sial,H#137 St-5 Gulgasht Multan,357058,Domestic
MTR-71508652,Mian Saba Bhatti,"House No. 90, Gali 6, Gulshan-e-Iqbal, Karachi",5504,Commercial
MTR-55744995,Ali Butt,"House 245, Street 35, Peoples Colony, Faisalabad",55907,Domestic
MTR-27551156,Zeeshan Mirza,"259-34 Westridge, Rawalpindi",41511,Domestic
MTR-49599811,Chaudhary Tariq Rizvi,"House No. 334, Gali 23, University Town, Peshawar",28555,Commercial
MTR-91744098,D. Warraich,H#189 St-20 PeoplesColony Faisalabad,163367,Domestic
MTR-90233578,Imran Abbasi,"House 357, Street 11, North Nazimabad, Karachi",36999,Domestic
MTR-14156927,K.Khokhar,مکان 198 گلی 2 Gulgasht Multan,12906,Domestic
MTR-13536729,حسین Cheema,"362-16 F-8/3, Islamabad",375208,Domestic
MTR-29930220,Hassan Warraich,"House 341, Street 14, North Nazimabad, Karachi",14214,Domestic
MTR-69025186,Syed Fatima Khattak,"House No. 169, Gali 14, Madina Town, Faisalabad",282839,Domestic
MTR-49951859,A. Tarar,H#349 St-11 ChaklalaScheme3 Rawalpindi,13089,Domestic
MTR-47326804,Uzma Zaidi,"280-26 Clifton Block 2, Karachi",31927,Commercial
MTR-68201545,Kamran Warraich,"296-1 Hayatabad Phase 3, Peshawar",12141,Domestic
MTR-95765288,Gul Gilani,"House 82, Street 32, Gulbahar, Peshawar",343856,Commercial
MTR-42202041,D. Khokhar,H#378 St-1 E-11/2 Islamabad,37799,Domestic
MTR-80850147,Chaudhary Mahnoor Mirza,"House No. 106, Gali 38, Satellite Town, Rawalpindi",4879,Domestic
MTR-26794934,M. Mehsud,H#355 St-2 Gulgasht Multan,187483,Domestic
MTR-73825284,H. Virk,H#33 St-40 PeoplesColony Faisalabad,49358,Commercial
MTR-77940223,Wajahat Durrani,"213-31 Peoples Colony, Faisalabad",38772,Domestic
MTR-75231931,B. Gondal,H#176 St-34 Cantt Multan,232395,Commercial
MTR-95809989,Mian Zara Kazmi,"House No. 1, Gali 13, I-8/4, Islamabad",31158,Domestic
MTR-71790747,Obaid Afridi,"229-4 DHA Phase 5, Lahore",205914,Domestic
MTR-32459639,T.Chaudhry,مکان 206 گلی 10 DHA Phase 6 کراچی,50299,Domestic
MTR-71067112,Rana Mubashir Naqvi,"House No. 339, Gali 2, DHA Phase 5, Lahore",281263,Domestic
MTR-46669747,H. Awan,H#123 St-40 HayatabadPhase3 Peshawar,10574,Commercial
MTR-43384655,P. Baig,H#144 St-18 ShahRukn-e-Alam Multan,411686,Domestic
MTR-16840349,Mubashir Mughal,"House 111, Street 27, Shah Rukn-e-Alam, Multan",8699,Commercial
MTR-37760079,I.Janjua,مکان 283 گلی 18 F-8/3 اسلام آباد,53912,Commercial
MTR-88508582,عثمان Gill,"358-28 Johar Town, Lahore",374923,Domestic
MTR-93415352,J. Kakar,H#125 St-26 DHAPhase5 Lahore,22902,Domestic
MTR-28112877,A.Janjua,مکان 142 گلی 26 Madina Town Faisalabad,28763,Domestic
MTR-71398505,Khalid Warraich,"310-40 University Town, Peshawar",27697,Domestic
MTR-48608702,Rana Khadija Niazi,"House No. 342, Gali 12, Madina Town, Faisalabad",325043,Domestic
MTR-67566896,Mian Junaid Tarar,"House No. 66, Gali 1, D Ground, Faisalabad",3918,Domestic
MTR-30876558,Haji Khadija Tarar,"House No. 177, Gali 25, Bahria Phase 4, Rawalpindi",15578,Domestic
MTR-28369219,Haji Rida Zaidi,"House No. 165, Gali 36, Bahria Phase 4, Rawalpindi",325748,Commercial
MTR-79209421,Sardar Jawad Kakar,"House No. 155, Gali 8, Clifton Block 2, Karachi",26930,Domestic
MTR-76288321,Laiba Janjua,"103-39 I-8/4, Islamabad",15424,Commercial
MTR-53521780,A.Malik,مکان 149 گلی 20 G-10/2 اسلام آباد,7079,Domestic
MTR-89459940,Malik Owais Saddozai,"House No. 117, Gali 3, Gulgasht, Multan",17342,Domestic
MTR-94931255,Rana Noman Naqvi,"House No. 254, Gali 21, Gulbahar, Peshawar",27643,Domestic
MTR-99205855,Chaudhary Uzma Bhatti,"House No. 197, Gali 20, Gulbahar, Peshawar",41118,Commercial
MTR-16002599,I. Naqvi,H#173 St-15 BahriaPhase4 Rawalpindi,144735,Domestic
MTR-23931741,Nimra Kayani,"House 206, Street 9, D Ground, Faisalabad",12173,Domestic
MTR-76603912,Nasir Rizvi,"44-31 Satellite Town, Rawalpindi",247253,Domestic
MTR-68870926,Mian Hina Sial,"House No. 246, Gali 10, Madina Town, Faisalabad",5611,Domestic
MTR-71602151,M. Kayani,H#84 St-21 B-17 Islamabad,277475,Commercial
MTR-68727557,Zeeshan خان,"251-32 E-11/2, Islamabad",6134,Domestic
MTR-51018392,عمران Gondal,"388-37 Clifton Block 2, Karachi",27212,Domestic
MTR-19847731,M.Baig,مکان 100 گلی 14 Madina Town Faisalabad,195492,Commercial
MTR-87412371,Maryam Tarar,"House 397, Street 15, Hayatabad Phase 3, Peshawar",8073,Domestic
MTR-73907395,A.Chaudhry,مکان 37 گلی 31 Gulbahar Peshawar,371924,Domestic
MTR-50959702,B. Mughal,H#304 St-23 Gulbahar Peshawar,58202,Domestic
MTR-24870234,H.Shirazi,مکان 286 گلی 23 Hayatabad Phase 3 Peshawar,315512,Domestic
MTR-68108330,R. Saddozai,H#165 St-29 HayatabadPhase3 Peshawar,46143,Commercial
MTR-16812642,Mansoor Sheikh,"House 243, Street 1, Shah Rukn-e-Alam, Multan",19472,Commercial
MTR-64570637,M.Niazi,مکان 61 گلی 35 Gulberg III لاہور,13767,Domestic
MTR-94390547,Adnan Ansari,"House 13, Street 14, G-13/1, Islamabad",3584,Commercial
MTR-23037339,A.Kazmi,مکان 284 گلی 26 Wapda Town لاہور,310298,Commercial
MTR-57326741,Mansoor Bhatti,"47-25 Chaklala Scheme 3, Rawalpindi",360050,Domestic
MTR-11791414,S. Baig,H#310 St-30 F-8/3 Islamabad,8602,Commercial
MTR-58644216,Rauf Hashmi,"369-39 G-13/1, Islamabad",28576,Commercial
MTR-14374975,Iqra Orakzai,"277-19 Peoples Colony, Faisalabad",178518,Domestic
MTR-37719430,L. Virk,H#172 St-35 G-10/2 Islamabad,20204,Commercial
MTR-96783381,Haji Nasir Janjua,"House No. 58, Gali 39, Satellite Town, Rawalpindi",9530,Domestic
MTR-44611372,Haji Waqas Abbasi,"House No. 116, Gali 39, I-8/4, Islamabad",14327,Domestic
MTR-65669806,M.Lodhi,مکان 372 گلی 4 Model Town لاہور,288220,Commercial
MTR-85845398,Sardar Zubair Virk,"House No. 317, Gali 37, Cantt, Multan",9920,Commercial
MTR-98116671,Naveed Saddozai,"379-35 Clifton Block 2, Karachi",190882,Domestic
MTR-16568181,Chaudhary Taimoor Khan,"House No. 265, Gali 26, Westridge, Rawalpindi",48651,Domestic
MTR-22285638,Mansoor Janjua,"House 190, Street 3, Clifton Block 2, Karachi",195674,Domestic
MTR-40322713,Syed Nimra Rizvi,"House No. 6, Gali 14, Peoples Colony, Faisalabad",56924,Domestic
MTR-84457706,Tooba ملک,"70-2 Chaklala Scheme 3, Rawalpindi",434757,Domestic
MTR-28338022,Jawad Gilani,"119-8 Gulshan-e-Iqbal, Karachi",36836,Domestic
MTR-45562997,Naveed بٹ,"383-36 Gulberg III, Lahore",54665,Domestic
MTR-92688552,Hamza Zaidi,"288-8 B-17, Islamabad",411008,Domestic
MTR-35301112,I. Mirza,H#204 St-26 UniversityTown Peshawar,50489,Commercial
MTR-76360032,B. Bhatti,H#195 St-1 ShahRukn-e-Alam Multan,3616,Domestic
MTR-32656595,Z. Sial,H#6 St-19 E-11/2 Islamabad,33146,Commercial
MTR-12263754,G.Chaudhry,مکان 187 گلی 2 Wapda Town لاہور,43703,Domestic
MTR-21864909,Danish Mehsud,"House 47, Street 28, Gulgasht, Multan",49353,Domestic
MTR-26204814,Malik Amna Sheikh,"House No. 92, Gali 17, Johar Town, Lahore",297085,Commercial
MTR-19741652,Rabia Kayani,"House 193, Street 17, B-17, Islamabad",17281,Commercial
MTR-18991875,K.Sheikh,مکان 64 گلی 37 Model Town لاہور,209096,Commercial
MTR-10328705,Haji Mubashir Bangash,"House No. 220, Gali 22, DHA Phase 6, Karachi",17791,Domestic
MTR-24590084,Malik Anas Kayani,"House No. 287, Gali 30, Gulgasht, Multan",267514,Domestic
MTR-15434657,Yasir Saddozai,"House 243, Street 6, Shah Rukn-e-Alam, Multan",16125,Commercial
MTR-68994369,R. Ansari,H#309 St-24 SatelliteTown Rawalpindi,23086,Domestic
MTR-92792337,J.Bangash,مکان 246 گلی 14 D Ground Faisalabad,23035,Commercial
MTR-95684310,Nadia Awan,"House 391, Street 11, Johar Town, Lahore",15326,Domestic
MTR-91675239,Talha Kayani,"243-16 Westridge, Rawalpindi",143683,Domestic
MTR-79051653,Zara Abbasi,"House 123, Street 12, F-8/3, Islamabad",163977,Commercial
MTR-40184749,Q.Yousafzai,مکان 390 گلی 12 Bahria Phase 4 راولپنڈی,50587,Domestic
MTR-61607176,Haji Anas Wazir,"House No. 303, Gali 34, G-13/1, Islamabad",396321,Commercial
MTR-39241560,Tariq Cheema,"House 354, Street 22, University Town, Peshawar",51211,Domestic
MTR-78078762,H.Zaidi,مکان 16 گلی 1 Satellite Town راولپنڈی,401964,Domestic
MTR-52546530,S. Durrani,H#66 St-32 HayatabadPhase3 Peshawar,42303,Domestic
MTR-38022613,P.Durrani,مکان 18 گلی 26 D Ground Faisalabad,3436,Commercial
MTR-74340185,محمد Dar,"27-16 Madina Town, Faisalabad",44563,Commercial
MTR-84134807,M.Awan,مکان 44 گلی 3 Shah Rukn-e-Alam Multan,14223,Commercial
MTR-48061542,علی Mehsud,"243-24 Shah Rukn-e-Alam, Multan",156215,Domestic
MTR-53704347,Sardar Rabia Khan,"House No. 82, Gali 1, University Town, Peshawar",17376,Commercial
MTR-88179259,Sardar Ghulam Afridi,"House No. 135, Gali 27, University Town, Peshawar",56171,Commercial
MTR-48463009,Uzma Bukhari,"House 268, Street 14, Satellite Town, Rawalpindi",222005,Domestic
MTR-28202343,L.Lodhi,مکان 40 گلی 17 Gulbahar Peshawar,358136,Domestic
MTR-14995019,Shoaib Bukhari,"52-9 Model Town, Lahore",51412,Domestic
MTR-47227536,Babar Yousafzai,"174-15 Wapda Town, Lahore",45954,Commercial
MTR-77000367,R. Saddozai,H#71 St-13 Cantt Multan,22047,Domestic
MTR-48134586,Chaudhary Ehsan Warraich,"House No. 383, Gali 33, Shah Rukn-e-Alam, Multan",225899,Commercial
MTR-16206240,Noman Joiya,"House 280, Street 31, D Ground, Faisalabad",16590,Domestic
MTR-11736530,L.Orakzai,مکان 103 گلی 17 B-17 اسلام آباد,142858,Domestic
MTR-84171005,Iqra Rizvi,"201-2 University Town, Peshawar",206165,Commercial
MTR-22473197,Sardar Bilal Rizvi,"House No. 73, Gali 27, G-13/1, Islamabad",26692,Domestic
MTR-29507531,Rana Atif Gill,"House No. 351, Gali 33, Model Town, Lahore",290198,Domestic
MTR-25177263,Atif Bhatti,"House 253, Street 23, University Town, Peshawar",172161,Domestic
MTR-64824204,Pervez Virk,"167-7 Gulberg III, Lahore",49051,Domestic
MTR-73420820,M.Yousafzai,مکان 3 گلی 10 Gulshan-e-Iqbal کراچی,5637,Domestic
MTR-99376635,علی Kazmi,"163-31 Hayatabad Phase 3, Peshawar",13856,Commercial
MTR-87842425,U.Butt,مکان 138 گلی 10 Madina Town Faisalabad,48871,Domestic
MTR-80804934,R.Sheikh,مکان 377 گلی 35 D Ground Faisalabad,40502,Commercial
MTR-63913819,Farah Bukhari,"House 395, Street 28, G-13/1, Islamabad",371989,Commercial
MTR-47793899,Mian Mustafa Awan,"House No. 173, Gali 10, University Town, Peshawar",23757,Domestic
MTR-49179293,H.Khan,مکان 22 گلی 30 Gulberg III لاہور,235392,Domestic
MTR-79430744,A.Gilani,مکان 328 گلی 15 Model Town لاہور,378869,Domestic
MTR-91898279,Naveed Wazir,"87-40 Clifton Block 2, Karachi",4828,Domestic
MTR-90124204,Malik Danish Raja,"House No. 308, Gali 9, Wapda Town, Lahore",14223,Domestic
MTR-24376841,W. Baig,H#79 St-3 UniversityTown Peshawar,316803,Commercial
MTR-42554811,Rana Maryam Sial,"House No. 313, Gali 24, Gulshan-e-Iqbal, Karachi",7816,Domestic
MTR-86842377,Rana Hafsa Naqvi,"House No. 104, Gali 1, Cantt, Multan",40996,Domestic
MTR-93846469,Kinza Kazmi,"55-37 University Town, Peshawar",6801,Domestic
MTR-48711468,Qasim Malik,"House 185, Street 36, Gulgasht, Multan",125794,Commercial
MTR-68244321,Z.Naqvi,مکان 228 گلی 13 Satellite Town راولپنڈی,10120,Domestic
MTR-72287400,Chaudhary Bushra Khattak,"House No. 191, Gali 6, Cantt, Multan",251215,Domestic
MTR-21493542,Naveed Khokhar,"113-31 Cantt, Multan",54342,Domestic
MTR-62042092,Junaid Gondal,"House 19, Street 28, Clifton Block 2, Karachi",373606,Commercial
MTR-38275964,W.Joiya,مکان 361 گلی 17 Madina Town Faisalabad,52979,Commercial
MTR-52440004,M.Naqvi,مکان 277 گلی 40 G-13/1 اسلام آباد,212560,Commercial
MTR-86539453,K. Chaudhry,H#309 St-4 ModelTown Lahore,140118,Domestic
MTR-92058810,Madiha Afridi,"208-36 DHA Phase 6, Karachi",264580,Domestic
MTR-81784886,Noman Naqvi,"House 9, Street 31, F-8/3, Islamabad",396911,Domestic
MTR-25285492,Talha Siddiqui,"309-2 Gulgasht, Multan",4703,Commercial
MTR-22530138,Z. Naqvi,H#336 St-7 ShahRukn-e-Alam Multan,15933,Domestic
MTR-57915390,N.Virk,مکان 19 گلی 8 Gulgasht Multan,325773,Domestic
MTR-31111259,Sardar Mahnoor Zaidi,"House No. 284, Gali 39, Westridge, Rawalpindi",349665,Commercial
MTR-17654115,B.Niazi,مکان 24 گلی 16 Madina Town Faisalabad,24654,Commercial
MTR-84094964,M.Tarar,مکان 374 گلی 15 Gulbahar Peshawar,309606,Domestic
MTR-70034443,Sufyan Janjua,"House 393, Street 11, Cantt, Multan",51003,Domestic
MTR-94517767,Hafsa Kakar,"347-3 Model Town, Lahore",240741,Domestic
MTR-57274384,G.Saddozai,مکان 364 گلی 18 Chaklala Scheme 3 راولپنڈی,15398,Commercial
MTR-30432854,Noman قریشی,"33-20 I-8/4, Islamabad",4683,Domestic
MTR-25102062,A.Sheikh,مکان 275 گلی 29 Westridge راولپنڈی,232430,Domestic
MTR-32893695,Khadija Afridi,"House 317, Street 29, North Nazimabad, Karachi",169687,Commercial
MTR-90579137,Ghulam Sial,"House 135, Street 27, Madina Town, Faisalabad",17949,Domestic
MTR-93033483,Rana Qasim Durrani,"House No. 153, Gali 2, University Town, Peshawar",260588,Domestic
MTR-81528296,Bushra Joiya,"261-26 Satellite Town, Rawalpindi",229637,Commercial
MTR-76075304,Babar Zaidi,"House 329, Street 11, Gulberg III, Lahore",21719,Commercial
MTR-60530992,K. Zaidi,H#276 St-16 GulbergIII Lahore,15894,Domestic
MTR-20566545,M.Mirza,مکان 242 گلی 17 University Town Peshawar,301409,Domestic
MTR-95068899,Z.Mirza,مکان 322 گلی 32 Cantt Multan,18362,Domestic
MTR-14408917,Ehsan خان,"40-33 Bahria Phase 4, Rawalpindi",6762,Domestic
MTR-52439170,Zeeshan Gondal,"House 141, Street 31, University Town, Peshawar",15366,Domestic
MTR-83963984,T.Mirza,مکان 66 گلی 38 B-17 اسلام آباد,354595,Commercial
MTR-69749468,H.Abbasi,مکان 384 گلی 2 Gulshan-e-Iqbal کراچی,8327,Domestic
MTR-90906657,N. Baig,H#232 St-30 NorthNazimabad Karachi,296819,Domestic
MTR-74620122,M. Awan,H#124 St-18 ModelTown Lahore,33279,Commercial
